conditionOMOPID,conditionOMOPName
4026131,Non-alcoholic fatty liver
3562315,Alcoholic steatohepatitis
4135253,Non-biological
37208367,Feeder cup feeding
4119018,Non-weight-bearing
3021308,ED clinical finding data source
4119748,Non-surgical biopsy of nervous system
4146594,Non-communicating
434656,Vertebral artery syndrome
43530872,Non-allergic hypersensitivity condition
4050875,Congenital cystic bronchiectasis
45763914,Non-diabetic hyperglycemia
301,DoD other
42536218,Rigid non-bladed video intubation laryngoscope
439691,Adolescent emancipation disorder
4191386,Fertility care
4077707,Location
4049795,Experimental implant
4206777,Including
44120394,Non Pollen Injectable Solution
45877791,Non-invasive ventilation (CPAP)
415265,Invasive oxygen saturation monitoring
4216396,Non malignant mast cell disease
3171629,Non-melanoma primary malignant neoplasm of skin
4329169,Country
46257635,"Analgesics, non-opioid"
45876719,Agree
36309479,"Dextropropoxyphene, bulk (non-dosage forms)"
4119416,Non-surgical biopsy of peripheral nerve
4206766,Pharmacologic
4129024,Non-viable pregnancy
763918,Patient transfer to non-psychiatric hospital
4147399,Aircrew
41973489,Bönen
4031164,Non-scarring alopecia
45771595,Non-rebreathing oxygen face mask
36560905,"Malignant lymphoma, non-Hodgkin, NOS, of round ligament"
4208399,Non-infected
41887439,Nonning
4345694,Symptomatic non-invasive amebic infection
45627126,KIRKLAND SIGNATURE NON ASPIRIN EXTRA STRENGTH - acetaminophen tablet
37063426,Liver fibrosis interpretation | Serum | Chemistry - non-challenge
35919416,Ishak fibrosis score 0-4||No to moderate fibrosis|METAVIR score F0-F3|Batt-Ludwig score 0-3
4222303,Non-smoker
4577201,"Humerus nail, non-sterile"
38003155,Medical/Surgical Supplies and Devices - Non Sterile
3711869,"Surgical sleeve cover, non-sterile"
4139206,Sustained ventricular tachycardia
4307302,Non-traumatic pneumopericardium
4174281,Non-tuberculous mycobacterial pneumonia
391,VA Non-Veteran Care
8527,White
435843,Non-working interference functional occlusion
40484532,Nonalcoholic steatohepatitis
4027939,Ursidae
44364015,3CE TRIPLE SHADOW NO NONO - titanium dioxide powder
406541,FEV1/FVC ratio normal
2720502,A normal healthy patient
4037307,Hearing normal
4043075,Liver function tests normal
4034019,Normal menopause
4216826,QT interval feature
4217308,Normal renal function
4145308,12 lead ECG
142033,Injury of cutaneous sensory nerve of upper limb
41953453,Novel
4162526,Nucleic acid assay
4236026,Home care by visiting nurse
36309413,O2/K2
4100857,Extreme obesity with alveolar hypoventilation
439658,Disorder of pregnancy
4249742,Obstruction of trachea
4220843,Extrahepatic obstructive biliary disease
4093906,Obstruction
4165268,Obstructive rhinitis
36310954,obvious death
4008045,"Exposure to polluted water, non-occupational"
42596973,Ochotona iliensis
4308391,Mechanical complication of intraocular lens
42538089,Ocular
4168062,Disorder of smell
4306451,Oliguria
45878805,Ongoing
4262136,Blighted ovum
37116485,Open wound of thorax
4264281,Open fracture
4243486,Open wound
373499,Disorder of eye region
43813,Opioid abuse
36685751,Maternal history of opioid misuse
21499129,Optic nerve
704996,Patient meets COVID-19 laboratory diagnostic criteria
4039746,Expressive language impairment
4311165,Respiratory secretion
375536,Organic writer's cramp
4148627,Excision of transplanted tissue or organ
439093,Traumatic lesion during delivery
4028623,Transplantation of bone marrow
44803213,Biopsy of lesion of organ NOC
35623653,Sexual relationship problem
4284985,Organized pneumonia
41953849,Oroër
21498732,Orthopaedics
4147346,Pregnancy with orthopedic problem
407946,Inshoe orthosis
78257,Osteogenesis imperfecta
432594,Osteomalacia
81403,Osteopetrosis
723599,"Antidotes to anticoagulants, other"
440638,Lyme disease
432296,Coagulation factor deficiency syndrome
79102,Arthropathy associated with a hematological disorder
4205695,Body substance sample
4266812,Cardiovascular morbidity
4353095,Complication occurring during pregnancy
254066,Pneumonia caused by Chlamydiaceae
313023,Chronic respiratory disease in perinatal period
433604,Transient neonatal disorder of coagulation
434744,Fetal or neonatal effect of maternal medical problem
4059182,H/O: infectious disease
4009875,Associated symptom
4041681,System disorder of the nervous system
375801,Demyelinating disease of central nervous system
374948,Acute secretory otitis media
36308641,Stroke of other determined etiology
4201908,Lithopedion
2008022,Replacement of (naso-)gastric or esophagostomy tube
375252,Disorder of eye
724049,OTHER IMMUNOSUPPRESSANTS
4451576,Other specified high cost immunosuppressant drugs
37040135,Bacteria & viruses
440924,Poisoning by vasodilator
24818,Injury of neck
432829,Yaws
36310611,Other medication
4154708,Cognitive safety issue
4181062,Inflammation of skin and/or subcutaneous tissue
4145254,Neuropsychological testing
42538954,Neurovascular deficit
4177224,Noninvasive ventilation
37050616,Atypical pneumonia pathogens panel | Respiratory specimen | Microbiology Panels
36309336,Progressive neurological conditions
4097523,Psychiatric rehabilitation
4232697,Persistent atrial fibrillation
405932,H/O: respiratory disease
434154,Neonatal aspiration syndromes
137682,Skin sensation disturbance
45880309,Somatic
4140881,Symptomatic parkinsonism
381783,Viral infection of central nervous system
4279553,Eosinophilic asthma
38000081,Embolic and thrombotic events
35917254,Primary Tumor Location
4353605,Tumor marker measurement
21601385,OTHER VACCINES
380731,Otitis externa
45876648,Out-of-Hospital
35941387,"Resident of the United States (including its possessions, etc.) or Canada, and postal code unknown"
4330417,Saudi Arabia
45885146,Overdose
35922501,Overlying skin
138387,Thyrotoxicosis
4029284,Impaired oxygen extraction
35918209,Paget Disease
4180793,Malignant tumor of pancreas
4243784,Pancreatic insufficiency
4021498,Panic attack
192606,Paraplegia
4073369,Self poisoning by paraquat
432251,Disease caused by parasite
46287203,How Are Things? Behavioural Difficulties ODDp (Oppositional Defiant Disorder - Parent/Carer) score
415429,Paroxysmal atrial fibrillation
4325853,History of aspirin exacerbated respiratory disease
73571,Pathological fracture
4094767,Manifest
3580727,Anti-PD-L1 antibody
41894403,Edéia
4587703,Pelvis
135338,Pemphigus
4222994,Pennsylvania
4079008,Central post-stroke pain
42627984,"Paravertebral block (PVB) (paraspinous block), thoracic; single injection site (includes imaging guidance, when performed)"
414164,Perimenopausal disorder
439139,Infections specific to perinatal period
4300467,Perinatal forceps injury
4253326,Perinuclear ANCA screen
321882,Generalized atherosclerosis
4131044,Hypoperfusion
4066321,Freeze dried muscle graft to peripheral nerve
4117779,Peripheral nerve disease
4196147,Peripheral oxygen saturation
40479594,Periprosthetic fracture
4267304,Chronic persistent
4107202,Persistent testicular pain
40622721,Ventricular tachyarrhythmia
257778,Pertussis
4072765,Peru
36311142,PET Scans
4014328,"Coxiella burnetii, phase II"
4028923,Religion AND/OR philosophy
43533813,General physical condition [NSRAS]
4030753,Physical functional dependency
44789133,Physical disability
421721,Sign
4027315,Personal care handicap
4223483,Impairment
419538,Physical activity
4059984,Pregnant - planned
37392308,Plasma methanol concentration
45758964,Plasma thawing unit
4153143,Plasma viscosity measurement
4069584,Platelet dysfunction due to aspirin
4027376,Platelet storage pool defect
4222936,Pleurodesis
440328,Pneumococcal infectious disease
4197234,Pneumocystis jirovecii
74125,Inflammatory polyarthropathy
135214,Polycythemia vera
4174262,Polyneuropathy
430743,Insufficient
4209223,Polyp
37073461,dRVVT | Platelet poor plasma | Coagulation
4083298,Poor skin condition
406338,Prognosis bad
40664791,I intend to report the hypertension (htn) measures group
42527596,Can pronounce at [NIH Toolbox]
45881633,Positive findings on pulmonary angiogram or spiral CAT scan (CT)
40482269,Screening for drug of abuse in urine specimen positive
416285,Possible
44114084,Potassium Iodide 320 MG / Pyrilamine 25 MG / Theophylline 137 MG Oral Tablet by Rougier
443252,Post-transplant neoplasia
44802972,Cause of learning disability
4144793,Post admission
4162382,Post-anesthesia assessment
4116876,Post-dose
4215685,Past history of procedure
372615,Post-infectious encephalitis
2790307,Contact Radiation of Chest Wall
42628334,Post mortem
257683,Posterior rhinorrhea
4047392,Postpartum care
4171207,Post-pubertal
4126274,Bladder outflow obstruction
44804805,Post-resuscitation care management
436676,Posttraumatic stress disorder
425623,Post-vaccination precautions
4059372,Postmortem examination
4118656,Postoperative period
4159659,Postural orthostatic tachycardia syndrome
3710981,Vaginal bleeding complicating early pregnancy
43022062,Cardiovascular system complication of procedure
35920978,WHO Grade II: Infiltrative tumors with low proliferative potential with increased risk of recurrence
36203615,Pre-admission Service Use [CMS Assessment]
4163116,Diabetic foot at risk
4019622,Pre-dialysis
439393,Pre-eclampsia
42539346,Preexcited atrial fibrillation
141084,Pre-eclampsia or eclampsia with pre-existing hypertension
35609818,HIV-PrEP - Human immunodeficiency virus pre-exposure prophylaxis
45760654,Blood collection paper
37018196,Prediabetes
3046431,Pulmonary diseases or conditions Set
43021414,Discussion about preexisting hypertension in pregnancy
440371,Disorder of immune function
409491,Pregnancy test positive
4025198,Hemorrhagic complication of pregnancy
4061459,Menarche
21494723,Cancer treatment --preoperative
3021485,Vesicular stomatitis New Jersey virus Ab [Presence] in Serum
4055977,Pleural fluid: malignant cells present
40664797,Left ventricular ejection fraction (lvef) < 40%
412057,Pressure controlled ventilation
36307889,Compatible
442921,Drug dependence in the puerperium - baby delivered during previous episode of care
4167529,Prior diagnosis
4058267,H/O: tuberculosis
4231363,Thrombosis
4043019,Procedure on nervous system
300141,Primary diagnosis
4316217,Primary fibromyalgia syndrome
320128,Essential hypertension
35919242,Malignant Primary
40771975,Primary anatomic organ system of chief complaint NEMSIS
4091166,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
31583,Prinzmetal angina
40657421,Cardiovascular disease+Pulmonary disease|ANYTypeOfService|ANYKindOfNote|ANYSetting
37117197,History of blood transfusion reaction
45885125,Prison
756076,Close contact with presumptive/probable COVID-19 case patient
4034891,Cancer procoagulant
4280604,Skin irritation
4217854,Bronchorrhea
21492362,Infectious disease Progress note
4178735,Acute insufficiency
764785,Cost prohibitive
36309967,Prone position
37303866,Abdomen proper
4223206,Penile prosthesis infection
42536099,Activated protein C inhibitor
444289,Anemia due to protein deficiency
7565,Proteinuria
4093742,"Disease, alleged but not proven"
4070654,Mental condensation
3026655,"Psychiatric rehabilitation treatment plan, Primary diagnosis Set"
45757274,Erectile dysfunction due to general medical condition
4058254,Poor social circumstances
4228492,Psychiatric in-patient
46237285,Psychiatric/Mental Health/Substance Abuse
436666,Psychosexual disorder
4187507,Psychomotor agitation
44792696,Psychotherapeutic play therapy
35921806,Postorchiectomy LDH stated to be still elevated
4480335,Local authority - National Public Health Classification
42538094,Pulmonary
435646,Congenital anomaly of pulmonary artery
40488321,Tuberculous abscess of lung
404092,Pulmonary artery wedge pressure
45879257,Pulmonary embolus/emboli
46273631,Pulmonary disease due to allergic granulomatosis angiitis
4078501,Consistency
4174275,Pulmonary lymphangioleiomyomatosis
1511349,Senna pod
42574376,Vaccine sample
4086243,Pulmonary sarcoidosis
431926,Pulmonary stress testing
4121618,Pulmonary thromboembolism
45771021,Inflammation and consolidation
4323902,Lung volume reduction surgery
706453,Pediatric pulmonology
706384,Public health
4301602,Thrombotic thrombocytopenic purpura
4032303,Pyramidal sign
4227732,Pyruvate carboxylase deficiency
4294905,Interval
374914,Tetraplegia
5066,qSOFA - quick Sequential Organ Failure Assessment
441969,Radiology result abnormal
42538379,Bilateral deficit of nervous system structures
4195552,Radiographic-tomographic unit
4093824,Coarse features
40493255,Viral syndrome
4196425,Sperm progression rapid
4095613,Palpitations - rapid
4058991,"Rapidly progressive nephritic syndrome, dense deposit disease"
41950438,Méras
4143972,Raynaud's phenomenon
314962,Raynaud's disease
4235804,Pulmonary hypertension secondary to raised pulmonary vascular resistance
40484651,Analysis using real time PCR
35805049,ACE
37208117,Recurrent seizure
45766164,Heart failure with reduced ejection fraction
42538114,History of renal insufficiency
36716981,Refractory hypotension
3005941,Pathology report relevant history Narrative
300853,Medication allergy - Reported
761712,Requires continuous supervision
40482435,Residual trophoblastic disease
4150939,O/E - type of respiration
317109,Respiratory arrest
4120088,Cardiac arrest with successful resuscitation
4132094,Disorder of endocrine gonad
4028363,Uveitis
4188175,Retinal damage
418779,Thrombosis of retinal vein
319825,Rheumatic heart disease
4243205,Subacute rheumatic arthritis
3002164,Rheumatoid arthritis nuclear Ab [Presence] in Serum by Immune diffusion (ID)
4142905,Fracture of rib
4166859,Right ventricular systolic dysfunction
4171522,Rigor mortis
35930844,"CD4 count less than 200, NOS|CD4 count stated to be low|CD4 count stated to be poor risk"
41999881,Aki
4346048,Ocular onchocerciasis
4136118,VII
35936749,"Negative/normal, RT-PCR test"
4207734,Russia
44788787,RV/TLC
41950701,Mer
4166902,Scalp laceration
4340953,Sclerosing cholangitis
318448,Second degree atrioventricular block
3183389,History of second degree heart block
21498595,Neuro: Brain tumor resection/biopsy
4125245,Anti-phospholipid antibody
4131056,Secondary infection
43579,Secondary polycythemia
4267284,Sectional
4590577,Patient Self-Reported Condition
4239762,Self-expression observable
100234,Aborted or self-interrupted suicide attempt Lifetime
4146042,Semen specimen collection
4071848,Senegal
381295,Senile cataract
4148469,Allergy-sensitivity to fungi syndrome
4251919,Uncompensated sensory deficit
4216409,Teacher of the deaf
4311114,Sensory disorder
43530939,Induced termination of pregnancy complicated by sepsis
37312594,Sepsis without septic shock
40489912,Sepsis due to Streptococcus pneumoniae
4219904,Cerebrospinal angiopathy
45885264,Seizure or serious neurologic dysfunction
137212,Cardiovascular syphilis
4023992,Pulmonary sign AND/OR symptom
4270426,General nail condition
38000005,Hepatic disorders
4219504,"Glycogen storage disease, type I"
40769048,Have you ever had a serious reaction after receiving a vaccination [PhenX]
4190445,High risk of primary heart disease
3668711,Allergic reaction caused by vaccine
37205058,Spondyloarthritis
141651,Stevens-Johnson syndrome
303827,Patient drug or alcohol use CPHS
4209443,Immunologic reaction
4214746,Severe anxiety
315564,Aortic valve regurgitation
1176038,Rheumatoid arthritis disease severity level [RAPID3]
4138847,Atypical hyperplasia
4152913,Severe asthma
4345565,Severe scapuloperoneal muscular dystrophy with cardiomyopathy
36210261,"Chronic cardiac condition (e.g., heart failure)"
37110251,Non-atherosclerotic chronic arterial occlusive disease
4031048,Severe chronic ulcerative colitis
4478272,Severe seasonal affective disorder
304476,Emphysema or COPD [Minimum Data Set]
36246756,Backaid IPF Pill
35806126,CVD (Vindesine)
42872411,"Severe major depression, single episode"
44783877,Severe achondrolasia with developmental delay and acanthosis nigricans
42539544,Dissociative neurological symptom disorder
4077028,Alcohol - drug use NEMSIS
4017192,Asthma severely restricts exercise
437522,Severe mood disorder without psychotic features
4121298,Toxic inhalation-induced febrile illness
4187201,Perinatal disorder
405683,Severe hereditary factor VIII deficiency disease
36305977,Injury severity
428837,Severe visual impairment
4212884,Disorder of cellular component of blood in newborn
434003,Glycogen storage disease
38004534,Drug related hepatic disorders - severe events only
38000009,Cholestasis and jaundice of hepatic origin (narrow)
29783,Severe combined immunodeficiency disease
432898,Severe intellectual disability
362101,Severe problems impairing most daily functions
36716722,Functional pancreatic sphincter of Oddi disorder
254676,Lung involvement associated with another disorder
37016131,Severe sepsis with acute organ dysfunction caused by Gonococcus
318776,Rheumatic mitral regurgitation
31789,Mitral and aortic stenosis
4100082,Stricture
4234653,Nausea and vomiting status
40479642,Pneumonia due to Severe acute respiratory syndrome coronavirus
4032603,Teratozoospermia
4155798,Severe bipolar disorder
42539192,Severe obesity complicating pregnancy
377574,Presbycusis
405919,H/O: psychiatric disorder
4232629,Psychiatric somatotherapy
44812215,Palliative Care Problem Severity Score - psychological/spiritual
46237624,"Severe disturbance of gait, requiring assistance"
4266019,Acute respiratory failure requiring reintubation
4208981,Retinal structure
70036,"Infectious agent detection by nucleic acid (DNA or RNA); severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) (Coronavirus disease [COVID-19]), amplified probe technique"
35625463,PURA syndrome
4112026,Sequelae of cerebral infarction
21499445,Severely short of breath
317302,Sinus node dysfunction
2720509,A patient with severe systemic disease
36311049,Severe cancer
4165598,Trauma and injury severity score
4146367,"Sialic acid storage disease, severe infantile type"
4218242,Ventricular escape rhythm
42742415,"Dementia severity classified, mild (DEM)"
423714,Abnormal sexual function
4131798,Short bowel syndrome
25518,Sickle cell trait
4294869,High anterior resection of rectum
40480216,Symptomatic sinus bradycardia
42666,Abnormal cardiac conduction
36309307,Significant activity
4139534,Bilateral renal artery stenosis
21494884,Bleeding risk [CCC]
45883053,Medical-supraventricular tachycardia (including atrial fibrillation)
38001137,Cardiac arrhythmia & conduction disorders w CC
38001035,Pulmonary edema & respiratory failure
141124,Congenital anomaly of cardiovascular system
40771948,Other significant causes or conditions of death
4190465,No anti-cancer treatment - significant co-morbidity
40546087,Depressed mood
4214576,Significance values
45770554,Significant intellectual development disorder
4246981,No significant drug interactions
4043087,Electrolytes abnormal
4305081,Emotional problems
4017296,Gastrointestinal tract disease monitoring
46234695,Health concerns Document
38001505,Neonate w other significant problems
416023,History of alcohol abuse
4053372,No FH: Hypertension
374384,Cerebral ischemia
45767721,Laboratory instruments and equipment
4042563,Liver enzymes abnormal
4267417,Hepatic fibrosis
4222114,Localized Shwartzman reaction
3012907,Psychiatric findings
4082463,Monoclonal gammopathy of uncertain significance
1003154,Variant of unknown significance | Blood or Tissue | Molecular pathology
46270514,Restrictive lung mechanics due to neuromuscular disease
138255,Abnormal cardiovascular function
3199046,Pulmonary nodules of uncertain significance by radiograph
45883127,"Deep vein thrombosis, pulmonary embolus"
45757974,Hemoperfusion system absorption column
40488471,Deformity of thoracic structure
3630853,Normal activity with effort; some signs or symptoms of disease
36308817,Respiratory assistance with manual or mechanical ventilation
4124686,Silent myocardial infarction
442125,Pneumoconiosis due to silica
4088796,Far periphery of retina
42050937,Singleton
42511585,Biphenotypic sinonasal sarcoma
4217221,Nodal rhythm disorder
3176618,Mucormycosis sinus infection
400731,Sinus tachycardia
41904982,Alto SIR
2213311,"In situ hybridization (eg, FISH), per specimen; initial single probe stain procedure"
403215,Sports activity
40757703,Skin conditions
13503,Discoloration of skin
45877341,Skin diseases
4317258,Disorder of skin
4053826,Injury of integument
432469,Fracture of skull
435657,Dyssomnia
35938895,Small bowel
420642,Small bowel resection sample
4301679,Intestinal absorption
201894,Acute vascular insufficiency of intestine
411913,Malignant lymphoma - small lymphocytic
4136153,Relapse phase
4226987,Abnormal urine odor
38000046,Taste and smell disorders (narrow)
4102714,Problem of sense of smell
4270025,Smith-Magenis syndrome
4184985,Smoldering myeloma
44069,Social phobia
4208341,Solid organ transplant
44102441,eculizumab 10 MG/ML Injection [Soliris] by Alexion
45882402,Some Other Race (specify)
36249499,Fluzone Quadrivalent 2016 Southern Hemisphere Injectable Product
19070224,soybean oil
4169709,Allergy to digoxin immune fab
42593047,Spectral tarsier
37035188,Pathologist interpretation | Cerebral spinal fluid | Pathology
4080549,Lumbar puncture
403468,Operation for spinal trauma
44789649,COPD excluded by spirometry
422353,Spondylitis
439907,Non-traumatic tendon rupture
255302,Spontaneous pneumothorax
441641,Delivery normal
4031891,Impaired spontaneous ventilation
40483249,Injury while engaged in sports activity
4111921,Squamous cell carcinoma of skin
4312001,"Carcinoma of colon, stage IV"
4302184,Systolic heart failure stage D
43021835,Hypertensive heart AND chronic kidney disease stage 3
45879002,Uterine Cancer
3178768,Chronic renal failure syndrome stage IV
44792232,CKD stage 3A with proteinuria
422413,Ventilation status
40482277,Steatohepatitis
407403,Injection of anesthetic agent into stellate ganglion
4303257,Stem cell
4089222,Sternal recession
4099334,Steroid-induced diabetes
407639,Stoma
4015305,Breastfeeding stopped
4248672,Physical activity target strenuous exercise
425914,Bacillus
4588328,Stroke/CVA
43604,Infection by Strongyloides
35924152,Mediastinal structures
4181027,Structural embryological defect
134398,Periodontal disease
4079611,Conscious blood pressure control
36714205,Hepatitis A vaccination contraindicated
4147787,Supravalvar aortic stenosis
4244061,Subcutaneous emphysema
3170859,Complaints of memory disturbance
36310439,Suboptimally visualized
36674563,Sucrose intolerance due to sucrase-isomaltase deficiency
437385,Intracranial injury with loss of consciousness
4233376,Unexplained sudden death
4083469,Suggestible
4219484,Suicide attempt
4025215,Emotional state finding
4299676,Constitutional sun sensitivity finding
4221822,Supine body position
36308581,Supplemental oxygen
4168285,Suppurative lymphadenopathy
435569,Disorder of jaw
4246974,Suspected chromosome abnormality
36241494,Pulmozyme Inhalant Product
4141635,Acquired phimosis
4253622,Suspected viral infection of skin
4215543,Suspected respiratory disease
44813193,Suspected influenza A virus subtype H1N1 infection
4220915,Suspected hypertension
4037707,Suspected malignancy
100401,Organic acidemia conditions suspected | DBS | Chemistry - non-challenge
37310259,Telephone consultation for suspected 2019 novel coronavirus
36712851,Suspected SARS
315523,Sickle cell-thalassemia disease
45768444,Suspicion
40757697,Swallowing disorder
4161288,Swallowing problem
4251945,Sweat
45770396,Cow's milk protein allergy symptoms resolved
425277,Synchronous tumor site Cancer
764463,History of Guillain-Barre syndrome due to influenza immunization
356076,Telfa AMD
4327327,Synthetic fiber maker
4077727,System
358034,Anticoagulation
45764084,Arthritis TENS system
4179877,Autoimmune connective tissue disorder
438365,Phaeohyphomycosis
1123681,sarilumab; systemic
4253674,Chronic non-infectious enteritis of uncertain etiology
4190307,Inflammatory disease of the central nervous system
376918,Primary malignant neoplasm of nervous system
1541079,corticotropin
44358,Systolic heart failure
44792551,Biopsy targeted lesion sample
400997,Technical assistant
45884772,"Technical failure (computer, phone etc.)"
4008093,"Functional disorder present, condition terminal"
4177115,Malignant tumor of testis
4142827,Repair of testicular injury
44802581,Therapeutic failure of TVT
45884813,Cardiac arrest-hypothermia-therapeutic
36676774,Immunosuppressant therapeutic role
418176,"Intracranial injury, without skull fracture"
4177243,Malignant tumor of pharynx
4143051,H/O: thromboembolism
4039428,Platelet
4280071,Thrombocytosis
4097984,Coarctation of pulmonary artery
4159647,Thromboembolic disorder
36716916,Hypohidrosis of unknown etiology
4199166,Huebener-Thompsen phenomena
4045049,Surgical action
4097737,Thrombotic tendency observations
4310041,Thymic lymphocyte
40485495,Thymoma
36210427,Thyroid cancer
4029625,Tidal volume
8018,Osteoarthritis
4219422,TNM category
4188059,Toxoplasma gondii
4128123,Tracheal
45882428,1 taco or burrito
38004182,Sonography Technologist
4033243,Transitory
3189598,Transient renal failure
4123005,Transmission
413718,Traumatic
376401,Traumatic cataract
4305757,Internal cardiac massage
4130162,Insulin treated type 2 diabetes mellitus
41902155,Nova Pátria
440703,Trigeminal nerve disorder
46270994,Triple P - Positive Parenting Program
4320495,Tubercular
441919,Twin pregnancy
44782643,"Progressive familial heart block, type II"
45881847,Hyperprolinemia type II
408973,Decreased frequency of F-wave
44807967,Unable to maintain own airway
38003075,Room & Board Ward (Medical or General) - Psychiatric
45882382,Unavailable/incorrect drug/blood product
4298325,Unconjugated hyperbilirubinemia
443238,Diabetic - poor control
46270322,Intermittent asthma uncontrolled
314665,Atrial flutter
4000938,Bacterial sepsis
4105019,Superimposed infection
4326744,Blood pressure
44782563,Pulmonary hypertension due to chronic obstructive pulmonary disease
2000127,Other excision or destruction of lesion or tissue of brain
319845,Pulmonary valve disorder
4587963,Infection risk
4171894,Uncorrected visual acuity
45769163,Gitelman syndrome
36713453,Familial hypomagnesemia hypercalciuria nephrocalcinosis with severe ocular involvement
44791453,Community disease modifying antirheumatic drug monitoring suspended
4021606,Age AND/OR growth finding
4141262,Secondary lysosome undergoing exocytosis
4296934,Mental health treatment
40767528,Have you ever undergone eye muscle surgery [PhenX]
46257639,"Genome (eg, unexplained constitutional or heritable disorder or syndrome)"
4337611,Single lung transplant
3707456,Ribs - unilateral and Chest | X-ray | Radiology
4137183,Unresolved
422715,Chronic rheumatic heart disease
4137184,Unstable status
4103399,Emotionally unstable personality disorder
706483,Vascular neurology
4037325,Symptom: upper limb
35918744,LDH Upper Limits of Normal
4049931,Open injury of urethra
42593581,Urethroprostatic reflux
4106548,Aortocoronary bypass of one coronary artery
4093606,Emergency
197672,Urinary incontinence
4009585,Abnormal urine
81902,Urinary tract infectious disease
42536028,Protease inhibitor
19781,Malignant neoplasm of uterine adnexa
4290412,Induced autoimmune reaction
4201893,Valencia
44782566,Pulmonary hypertension due to left-sided valvular heart disease
443362,Variant Creutzfeldt-Jakob disease
4117031,Extended series patch test substance
313928,Peripheral vascular complication
37204873,Vascular malformation
4086104,Redistribution
43055,Vasomotor rhinitis
410068,Dilation of sphincter of Oddi
36309649,Vegetative state
36249551,Venclexta Pill
153163,"Extracorporeal Oxygenation, Membrane, Peripheral Veno-venous"
4061473,Obstetric cerebral venous thrombosis
4207899,Deep venous thrombosis of tibial vein
4302136,History of peripheral vascular disease
4130245,Mask
45771725,Ventilator IMV controller
44791135,Ventilatory support
4091457,Cardiac rhythm type
4158483,Disorder of brain ventricular shunt
4092038,Ventricular pacing pattern
45877467,Cardiac arrest- ventricular fibrillation/pulseless ventricular tachycardia
21493277,Verified procedure
44804321,Vertical transmission - National Public Health Classification
42080582,Veteran
4136904,Nasoenteric tube
4119422,Tracheoscopy via tracheostomy
4034086,Viable pregnancy
441188,"Victim, pedestrian in vehicular AND/OR traffic accident"
4138254,Wohlfahrtia vigil
37021229,Gastrointestinal viral pathogens panel - Stool by NAA with probe detection
42001202,Naso
4231274,Viral myocarditis
4041975,Viral nucleic acid assay
4153375,PCR positive for hepatitis C viral RNA
3015042,Viral susceptibility panel
4275133,Formation of mucous fistula
413444,Visual system disorder
374034,Visual disturbance
4249889,Visual field
377286,Visual field defect
4236215,Visual and hearing impairment device
4104391,"Better eye: moderate visual impairment, Lesser eye: moderate visual impairment"
43607,Vitamin D deficiency
19045045,ergocalciferol
19095164,cholecalciferol
436658,Vitamin deficiency
44803964,Vulnerable group - National Public Health Classification
4098597,Waldenström macroglobulinemia
313223,Granulomatosis with polyangiitis
4169137,Allergy to wheat
42869815,Where was vaccine received
4226865,Blood
4102442,Venipuncture for blood test
4030211,"Congenital adrenal hypoplasia, X-linked"
35629391,Xatral
4195318,Xeroderma pigmentosum
422849,"Klinefelter's syndrome, XXY"
45877357,"Yes, at arrival at the ED"
44132867,0.5 ML Yellow Fever Vaccine 220000 PFU/ML Injectable Solution [YF-Vax] Box of 5 by Sanofi
4313591,Respiratory rate
4203341,Open grade I
